Type,BusNo,Location,Size_kW_or_kVAR
DG,6,DLF Phase 5,417.1646686780608
DG,11,Sector 23,279.7743462045778
DG,16,Sector 43,167.92788078626086
DG,5,DLF Phase 4,337.2050152321188
DG,25,Sector 52,433.51927963659085
DG,28,Sector 55,386.51560577718897
DG,20,Sector 47,331.78240958284965
DG,4,DLF Phase 3,75.36808848644755
DG,13,Sector 29,145.36165142457315
DG,31,Sector 58,434.94558494780193
Capacitor,50,Golf Course Road,187.34500191223216
Capacitor,35,Sector 62,81.42211283966267
Capacitor,49,Suncity,213.4296745157912
Capacitor,37,Sector 65,110.1920105222573
Capacitor,46,Palam Vihar,109.7356490894363
Capacitor,30,Sector 57,98.36360022295122
